=== Guidance Debug Log ===
[Step 00] raw_guidance*w=0.001796, ms_guidance=0.001076, w=3.013931
[Step 01] raw_guidance*w=0.001786, ms_guidance=0.001053, w=3.013931
[Step 02] raw_guidance*w=0.001774, ms_guidance=0.001029, w=3.013931
[Step 03] raw_guidance*w=0.001762, ms_guidance=0.001016, w=3.013931
[Step 04] raw_guidance*w=0.001748, ms_guidance=0.000993, w=3.013931
[Step 05] raw_guidance*w=0.001736, ms_guidance=0.000977, w=3.013931
[Step 06] raw_guidance*w=0.001724, ms_guidance=0.000967, w=3.013931
[Step 07] raw_guidance*w=0.001717, ms_guidance=0.000967, w=3.013931
[Step 08] raw_guidance*w=0.001721, ms_guidance=0.000998, w=3.013931
[Step 09] raw_guidance*w=0.001734, ms_guidance=0.000921, w=3.013931
[Step 00] raw_guidance*w=0.001776, ms_guidance=0.001109, w=3.008829
[Step 01] raw_guidance*w=0.001767, ms_guidance=0.001099, w=3.008829
[Step 02] raw_guidance*w=0.001759, ms_guidance=0.001088, w=3.008829
[Step 03] raw_guidance*w=0.001752, ms_guidance=0.001076, w=3.008829
[Step 04] raw_guidance*w=0.001747, ms_guidance=0.001065, w=3.008829
[Step 05] raw_guidance*w=0.001743, ms_guidance=0.001055, w=3.008829
[Step 06] raw_guidance*w=0.001739, ms_guidance=0.001047, w=3.008829
[Step 07] raw_guidance*w=0.001736, ms_guidance=0.001052, w=3.008829
[Step 08] raw_guidance*w=0.001736, ms_guidance=0.001087, w=3.008829
[Step 09] raw_guidance*w=0.001735, ms_guidance=0.001147, w=3.008829
[Step 00] raw_guidance*w=0.001616, ms_guidance=0.000846, w=3.008597
[Step 01] raw_guidance*w=0.001607, ms_guidance=0.000828, w=3.008597
[Step 02] raw_guidance*w=0.001599, ms_guidance=0.000822, w=3.008597
[Step 03] raw_guidance*w=0.001590, ms_guidance=0.000818, w=3.008597
[Step 04] raw_guidance*w=0.001585, ms_guidance=0.000827, w=3.008597
[Step 05] raw_guidance*w=0.001584, ms_guidance=0.000834, w=3.008597
[Step 06] raw_guidance*w=0.001589, ms_guidance=0.000851, w=3.008597
[Step 07] raw_guidance*w=0.001601, ms_guidance=0.000873, w=3.008597
[Step 08] raw_guidance*w=0.001626, ms_guidance=0.000914, w=3.008597
[Step 09] raw_guidance*w=0.001650, ms_guidance=0.000839, w=3.008597
[Step 00] raw_guidance*w=0.001728, ms_guidance=0.000975, w=3.103271
[Step 01] raw_guidance*w=0.001720, ms_guidance=0.000969, w=3.103271
